상품명,가격,판매여부,날짜,시간,24시간이내,프로상점,광고,케어,무료배송,지역,URL,상품ID,세부카테고리ID,대분류,중분류,소분류
포스트모니션 카미유니트,25000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/328677225,328677225,310260800,여성의류,상의,니트_스웨터
폴로 울 캐시미어 스웨터 니트 반팔,130000,판매중,2025.06.12,8시간 전,✅,True,False,False,False,대전광역시 유성구 노은2동,https://m.bunjang.co.kr/products/205504944,205504944,310260800,여성의류,상의,니트_스웨터
자라 콤비 니트 롱 탑,25920,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/310006805,310006805,310260800,여성의류,상의,니트_스웨터
더바넷 케이블 니트집업,200000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/315162465,315162465,310260800,여성의류,상의,니트_스웨터
CARDINAL 울 100 니트 M,30000,판매중,2025.06.12,8시간 전,✅,True,False,False,False,,https://m.bunjang.co.kr/products/295049823,295049823,310260800,여성의류,상의,니트_스웨터
오디에스 캐시미어 라운드 유넥 니트 핑크,64500,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/312168686,312168686,310260800,여성의류,상의,니트_스웨터
매니매니모드 브이넥 니트 핑크 새상품,13000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/326163650,326163650,310260800,여성의류,상의,니트_스웨터
니트,10000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,서울특별시 서초구 방배본동,https://m.bunjang.co.kr/products/330077444,330077444,310260800,여성의류,상의,니트_스웨터
니트 워머 set,10000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/326346013,326346013,310260800,여성의류,상의,니트_스웨터
한섬 오브제 니트,130000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/286029572,286029572,310260800,여성의류,상의,니트_스웨터
한섬 SJSJ 니트,100000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/288067737,288067737,310260800,여성의류,상의,니트_스웨터
새상품)텍도안뜯음.라벤더컬러.니트.니트긴팔.니트상의.스퀘어넥.여성니트,15000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/314062448,314062448,310260800,여성의류,상의,니트_스웨터
1회착용)니트.여성니트.프리사이즈.여성상의.겉옷.긴팔,7000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/312046945,312046945,310260800,여성의류,상의,니트_스웨터
니트.여성니트.긴팔.베이지색.브이넥니트.여성상의,5000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/312045141,312045141,310260800,여성의류,상의,니트_스웨터
얇은.스판니트.롱니트티.긴팔티.아베크롬비.롱슬리브니트.시스루니트,13000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/311300170,311300170,310260800,여성의류,상의,니트_스웨터
한섬 시스템 니트,155000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/338165213,338165213,310260800,여성의류,상의,니트_스웨터
아뜨랑스 울캐시미어 루즈핏 라운드 니트,20000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/196664168,196664168,310260800,여성의류,상의,니트_스웨터
귀여운 아이보리 니트,9000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/170395913,170395913,310260800,여성의류,상의,니트_스웨터
