category,status,title,price,nickname,date
예술 수집_동양 예술작품,판매,B70 작가(김은주작가)님 원화 작품 판매 ( 10호~50호 ) / 작품교환 협의도 가능,"123,456",socc****,10:21
예술 수집_동양 예술작품,판매,제이드킴(JADE KIM) 30호 / 80호 원화 작품 판매 ( 작품교환 협의도 가능 ),"123,456",socc****,10:21
예술 수집_동양 예술작품,판매,화엄성중 신중 탱화,"500,000",대취탁,05:29
예술 수집_동양 예술작품,판매(안전),중국도자기 / 용그림의 天자관 / 천자관 도자기,"70,000",고풍200,2025.06.01.
예술 수집_동양 예술작품,판매,"레트로 자개장, 레트로 자개 화장대","2,000,000",홈런봄,2025.06.01.
예술 수집_동양 예술작품,판매,일본 에도시대 카타나 장식구 츠바,"65,000",2851,2025.06.01.
예술 수집_동양 예술작품,판매(안전),심전 안중식 기명절지도 대련 판매합니다,"6,000,000",조커,2025.06.01.
예술 수집_동양 예술작품,판매(안전),구룡산인 김용진 석란도 목련 판매합니다.,"600,000",조커,2025.06.01.
예술 수집_동양 예술작품,판매,중국도자기 흑유 대모피 잔잔대,"30,000",뜻깊은 하루,2025.06.01.
예술 수집_동양 예술작품,판매,한국춘란 홍화 삼홍,"70,000",볼락감시,2025.06.01.
예술 수집_동양 예술작품,판매,한국춘란 산반화 능소화 5촉,"400,000",볼락감시,2025.06.01.
예술 수집_동양 예술작품,판매,"골동품,고미술,현대미술,취미수집,근대사,현대사 관련한 도록과 화집,자료 판매합니다.","11,111",alfo1248,2025.06.01.
예술 수집_동양 예술작품,판매,옥승철 원화 50 호 하이바,"45,000,000",룰루랄라아아123,2025.05.31.
예술 수집_동양 예술작품,판매(안전),1988 서울올림픽 기념 청동 범종 모형 판매합니다 골동품,"180,000",퍼니필름,2025.05.31.
예술 수집_동양 예술작품,판매(안전),지방무형문화재 벽암 작가 청자 도자기 판매합니다,"80,000",퍼니필름,2025.05.31.
예술 수집_동양 예술작품,판매,동양난 5개 (싱싱함),"80,000",사랑이11,2025.05.31.
예술 수집_동양 예술작품,완료,"골동품,고미술,현대미술,취미수집,근대사,현대사 관련한 도록과 화집,자료 판매합니다.","11,111",alfo1248,2025.05.31.
예술 수집_동양 예술작품,판매,인도,"1,000,000",fighting나라,2025.05.31.
예술 수집_동양 예술작품,판매,신라 굽다리토기.,"160,000",하느리오,2025.05.31.
예술 수집_동양 예술작품,판매,"김환기화백 에디션 판화 40호, 고급원목액자[봄의노래]","1,900,000",인삼주코리아,2025.05.31.
예술 수집_동양 예술작품,판매,"김환기화백 에디션 판화 40호, 고급원목액자[은하수-별빚]","1,900,000",인삼주코리아,2025.05.31.
예술 수집_동양 예술작품,완료,경복궁 야간개장 31일 2매 구매합니다,"20,000",seojun86,2025.05.31.
예술 수집_동양 예술작품,판매,남농 그림 3점,"900,000",대구사랑특판,2025.05.31.
예술 수집_동양 예술작품,판매(안전),화랑 운영중지로 인한 캔버스유화그림 / 모두 100점 완전 저렴하게 판매합니다.,"500,000",미술장이,2025.05.31.
예술 수집_골동품_기념주화,판매,엽기적인그녀 비디오 -,"30,000",정통해야따른다,20:32
예술 수집_골동품_기념주화,판매,웨지우드 제스퍼웨어 블루 온 화이트 트링킷,"50,000",번장동시이용,20:19
예술 수집_골동품_기념주화,판매,화려하면서 온화한 느낌을 빗어낸 장인의 여주도예,"100,000",leejungsh,20:10
예술 수집_골동품_기념주화,판매,코카콜라 런던올림픽 뱃지 판매,"70,000",흡연구역11,20:08
예술 수집_골동품_기념주화,판매,화폐시세도감2개일괄 판매,"29,000",뮤턴트팩맨,19:49
